Canada 26 7 4778 5800 6764 6856
Pakistan 210 106.0 48385 48282 58912 59052
Netherlands 20 6 3350 4342 4642 4888
Australia 228 154.5 56344 51205 63809 62455
England 220 106.5 51449 51937 60028 59986
Bangladesh 160 69 33401 35326 43153 42760
Africa_XI 3 0 907 985 904 934
South_Africa 189 121.5 46482 42179 51587 52009
Afghanistan 34 14 6649 7214 8998 9042
Scotland 30 8 5825 6296 7763 7325
India 258 155.0 63458 62661 71064 72457
West_Indies 176 67.5 38004 39895 46684 47863
Zimbabwe 141 30.5 29123 33326 39110 38868
Bermuda 12 2 1860 2414 2833 2830
Ireland 55 22.0 11253 11971 14586 14886
United_Arab_Emirates 13 3 2727 3400 3666 3640
Sri_Lanka 243 135.5 56444 53588 66205 63959
Kenya 26 9 4745 5518 6822 6655
New_Zealand 183 96.0 43176 41776 48767 49739
Asia_XI 3 3 985 907 934 904
Hong_Kong 4 1 706 1029 1046 1169
